Question	Answer	Source
Документы для аккредитации в качестве Заказчика	"В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки" для получения аккредитации на площадке Вы должны предоставить сканированные копии следующих документов:*   Копия выписки из Единого государственного реестра юридических лиц (для юридических лиц), полученной не ранее чем за шесть месяцев до дня обращения с заявлением;\n*   Копия учредительных документов;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности);\n*   Копия документов, подтверждающих полномочия руководителя."	Editorial
Документы для аккредитации в качестве Участника	"В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки" для получения аккредитации на площадке Вы должны предоставить сканированные копии следующих документов: **Юридическое лицо:***   Копия выписки из Единого государственного реестра юридических лиц, полученной не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию и содержащая актуальные данные;\n*   Копии действующей редакции учредительных документов;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Шаблон доверенности можно посмотреть в Регламенте площадки "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки";\n*   Копии документов, подтверждающих полномочия руководителя (решение о назначении или об избрании лица на должность, в соответствии с которым такое лицо обладает правом действовать от имени Заявителя - юридического лица без доверенности (решение, протокол или выписка из протокола).**Индивидуальный предприниматель:***   Копия выписки из единого государственного реестра индивидуальных предпринимателей, полученной не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию и содержащая актуальные данные;\n*   Копия документа, удостоверяющего личность;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Шаблон доверенности можно посмотреть в Регламенте площадки "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки".**Физическое лицо:***   Копия документа, удостоверяющего личность;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности).  Шаблон доверенности можно посмотреть в Регламенте площадки "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки".	Editorial
Документы для аккредитации филиала	"В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки" для получения аккредитации на площадке Вы должны предоставить сканированные копии следующих документов:*   Копия выписки из Единого государственного реестра юридических лиц, полученной не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию и содержащая актуальные данные (выписка должна содержать сведения о филиале);\n*   Копии действующей редакции учредительных документов (документы должны быть представлены на головную организацию);\n*   Копии документов, подтверждающих полномочия руководителя головной организации;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности)."	Editorial
Документы для аккредитации иностранного лица	"В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки" для получения аккредитации на площадке Вы должны предоставить нотариально заверенный перевод на русский язык нижеуказанных документов:**Юридическое лицо:***   Копия выписки из реестра предприятий (предпринимателей) или иной документ о государственной регистрации юридического лица в соответствии с законодательством соответствующего государства со сроком действия указанных документов не более шести месяцев и содержащий актуальные данные;\n*   Копии действующей редакции учредительных документов;\n*   Копии документов, подтверждающих полномочия руководителя головной организации;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности).**Индивидуальный предприниматель:***   Копия выписки из единого государственного реестра индивидуальных предпринимателей, полученной не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию и содержащая актуальные данные;\n*   Копия документа о государственной регистрации физического лица в качестве индивидуального предпринимателя на территории Российской Федерации;\n*   Копия документа, удостоверяющего личность;\n*   Нотариально заверенный перевод на русский язык документа, удостоверяющего личность;  \n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности)."	Editorial
Требования к предоставлению копии документа удостоверяющего личность участника	"При подаче заявки на аккредитацию ИП / ФЛ должен предоставить копию паспорта со всеми страницами (с 1 по 20). Описание бланка паспорта содержится в п. 2 Постановления Правительства РФ от 08 июля 1997 года № 828: бланк паспорта состоит из обложки, приклеенных к обложке форзацев и содержит 20 страниц. Только в этом случае документ может рассматриваться в качестве надлежащей копии документа, удостоверяющего личность. При несоблюдении указанного требования Оператор электронной площадки обязан такую заявку отклонить на основании п. 3 ч. 2. ст. 61 44-ФЗ. А так же все Участники, которые имеют копию паспорта с недостающими страницами, могут быть отклонены Заказчиком по несоответствию требованиям при рассмотрении заявок на участие."                                                                	Editorial
Аккредитация участников без выписки из Единого государственного реестра 	1.  <span style="line-height:1.6">Проверьте когда был аккредитован Участник (</span><span style="line-height:1.6">Аккредитация получена в период с 26.10.15г. по 11.12.15г. - по регламенту площадки выписка не требовалась); </span>\n2.  В зависимости от даты аккредитации, обратите внимание на соответствующую редакцию Регламента.	Editorial
Образец доверенности в формате Word	 Скачать образец доверенности в формате Word возможности нет.Вы можете в Центре поддержки пользователей в разделе  "Инструкции" /  "223-ФЗ и коммерческие закупки" / "Начало работы на площадке" просмотреть образец доверенности. При необходимости можно выделить текст доверенности и скопировать его Word.	Editorial
Заполнение формы заявки на аккредитацию	"При формировании заявки заполните поля формы заявки, обязательные отмечены *.Форма заявки на аккредитацию состоит из 10 разделов:*   **Раздел "Роли организации в закупках". **Указывается информация, в качестве кого Вы хотите зарегистрироваться на ЭП: Заказчик / Поставщик / Заказчик/Поставщик\n*   **Раздел "Информация о лице, подписавшем заявку".** Указывается информация о конкретном пользователе организации, который подписывает заявку на аккредитацию;\n*   **Раздел "Заявитель".** Указывается информация о заявителе – юридическом лице, индивидуальном предпринимателе или физическом лице, от имени которого подается заявка на аккредитацию;\n*   **Раздел "Юридический адрес". **Указывается адрес организации в соответствии с учредительными документами;\n*   **Раздел "Почтовый адрес".** Указывается адрес организации, используемый для направления почтовых сообщений;\n*   **Раздел "Сведения о видах экономической деятельности".** Указывается значение из справочника ОКВЭД2 (данный раздел отображается только в случае если выбран чек-бокс "Аккредитация в качестве поставщика"). После выбора сертификата в разделе "Сведения о видах экономической деятельности" отображается кнопка "Заполнить из ЕГРЮЛ", при нажатии на которую автоматически заполняется юридический адрес и поле "Номенклатура (ОКВЭД2)", для выбора значения ОКВЭД2 из справочника вручную необходимо нажать кнопку "Выбрать";\n*   **Раздел "Документы заявителя".** Прикрепляются сканированные документы организации;\n*   **Раздел "Банковские реквизиты".** Указываются банковские реквизиты организации, которые будут использоваться для пополнения виртуального счета и вывода средств с виртуального счета организации. Поля могут быть заполнены вручную или автоматически (нажать кнопку "Заполнить");\n*   **Раздел "Заявка на аккредитацию".** В этом разделе происходит генерация документов площадки, которые подписываются пользователем;\n*   **Раздел "Откуда Вы узнали об электронной торговой площадке".** Указывается информация об источнике, из которого Участник узнал об электронной площадке РТС-тендер;\n*   **Раздел "Защита от спама".** В данном поле необходимо указать ключ защиты от спама."	Editorial
Предварительный просмотр генерируемых документов в форме заявки на аккредитацию	Ссылки для просмотра документов будут доступны после заполнения всех обязательных полей заявки на аккредитацию.Чтобы просмотреть список этих документов в разделе "Заявка на аккредитацию" нажмите кнопку "Просмотреть документы". Автоматически будет сформирован следующий список документов:В случае если Пользователь проходит аккредитацию в качестве Заказчика:*   Согласие на обработку персональных данных на площадке rts-tender.ru; \n*   Заявление о присоединении заказчика.В случае если Пользователь проходит аккредитацию в качестве Участника:*   Согласие на обработку персональных данных на площадке rts-tender.ru;\n*   Заявление о присоединении поставщика.В случае если Пользователь проходит аккредитацию в качестве Заказчика и Участника:*   Согласие на обработку персональных данных на площадке rts-tender.ru; \n*   Заявление о присоединении поставщика; \n*   Заявление о присоединении заказчика.Для повторного просмотра документов нажмите кнопку "Обновить документы". **Если в форму заявки на аккредитацию внесены изменения,** то для того чтобы документы сгенерировать заново, нажмите кнопку "Обновить документы". **В случае если заявка заполнилась автоматически (автоматическая аккредитация),** то в разделе "Заявка на аккредитацию" документы будут сформированы автоматически, кнопка "Обновить документы" будет неактивна. Для просмотра документов можно перейти по ссылке "Скачать", добавленной около каждого документа.	Editorial
Заполнение полей: "Полное наименование организации", "ИНН", "КПП", "ОГРН", "Адрес электронной почты"	При заполнении заявки на аккредитацию поля: Фамилия/Имя Пользователя, "Полное наименование организации", "ИНН", "ОГРН", "Адрес электронной почты" выделяются серым цветом и заполняются автоматически данными из электронной подписи.**Особенности заполнения некоторых полей**	Editorial
