Question	Answer	Source
Реквизиты Заказчика для перечисления денежных средств. Содержание письма	 Если в Личном кабинете Заказчика не указаны банковские реквизиты для перечисления денежных средств (данные не были интегрированы из ЕИС), необходимо прислать на адрес электронной почты support@rts-tender.ru сканированный файл официального письма на имя Генерального директора ООО "РТС-тендер" Лишенкова Владимира Николаевича, в котором указать актуальные банковские реквизиты организации.Письмо должно быть заверено печатью и подписью руководителя организации Заказчика.	Editorial
Перечисление денежных средств на счет Заказчика в случае признания Участника уклонившимся 	 "Во исполнение рекомендаций ФАС России перечисление средств Заказчику должно осуществляться не ранее, чем по истечении 13 дней с момента публикации протокола итогов." 	Editorial
Перечисление обеспечения заявки на счет заказчика, если участник трижды в квартал был отклонен	 "В соответствии с <span style="line-height:16.6399993896484px;">ч. 27 </span><span style="line-height:1.6;">ст. 44 44-ФЗ в случае, если в течение одного квартала на одной электронной площадке в отношении вторых частей трех заявок на участие в электронном аукционе, поданных одним Участником, аукционной комиссией приняты решения о несоответствии указанных заявок требованиям, предусмотренным документацией о таком аукционе, по основаниям, установленным пунктом 1 части 6 статьи 69 настоящего Федерального закона (за исключением случаев, если этот Участник обжаловал данные решения в соответствии с настоящим Федеральным законом и по результатам обжалования принято решение о необоснованности данных решений), Оператор электронной площадки по истечении тридцати дней с даты принятия последнего из данных решений перечисляет Заказчику денежные средства, внесенные этим Участником в качестве обеспечения последней заявки на счет, который указан Заказчиком и на котором в соответствии с законодательством Российской Федерации учитываются операции со средствами, поступающими Заказчику.</span><span style="line-height:1.6;">Согласно положениям абзаца пятого пункта 3 статьи 41 Бюджетного кодекса РФ, средства подлежат перечислению в доход соответствующего бюджета бюджетной системы РФ".  \n**Реализация на ЭП:**</span>  \n На ЭП РТС-тендер при расчете третьего отклонения заявки за квартал не учитываются закупки, по которым по предписанию был предусмотрен возврат заявок, также не учитывается отклонение заявки в случае отмены закупки. Если Заказчик при публикации протокола отказа от заключения контракта с победителем выбрал одну из причин отказа:  \n •    В связи с отстранением участника закупки на основании части 6.1 статьи 66 Федерального закона № 44-ФЗ (признание информации, предусмотренной частью 5 статьи 66 Федерального закона № 44-ФЗ, недостоверной);  \n •    В связи с отстранением участника закупки на основании части 6.1 статьи 66 Федерального закона № 44-ФЗ (признание информации, предусмотренной частями 3 и 5 статьи 66 Федерального закона № 44-ФЗ, недостоверной),  \n то данная причина учитывается при расчете третьего отклонения за квартал по вторым частям заявок.	Editorial
Сроки перечисления денежных средств заказчику при признании участника уклонившимся 	"При признании Участника, уклонившимся от заключения контракта на основании ч. 13 ст. 70 №44-ФЗ (при публикации протокола отказа выбрана причина "Признать участника уклонившимся от заключения контракта в соответствии с ч. 13 ст. 70 Закона №44-ФЗ") д<span style="line-height:1.6">енежные средства перечисляются Заказчику либо в 21:00 на 14-ый день после публикации протокола подведения итогов, либо в 21:00 дня следующего за днем признания Участника уклонившимся от заключения контракта, в зависимости от того, какая дата наступит позже. </span><span style="line-height:1.6">В случае, если Заказчик внес изменения в опубликованный протокол отказа от заключения контракта и изменил причину отказа (выбрал другую статью закона), денежные средства Заказчику не перечисляются, а разблокируются в обычном режиме."</span>	Editorial
Перевод денежных средств на счет заказчика с опозданием 	 "Информация была проверена, на данный момент точно не можем Вам ответить, почему средства поступили с опозданием, но транзакция на перевод сформировалась вовремя, возможно из-за неточных реквизитов и / или из-за проблем с банком-партнером денежные средства поступили только сейчас."	Editorial
Просмотр реквизитов для перечисления денежных средств на счет Заказчика	"Денежные средства перечисляются на реквизиты, указанные в извещении, в разделе "Обеспечение", в ЕИС - "Обеспечение заявок". 	Editorial
Проверка перечисления / возврат денежных средств на реквизиты Заказчика 		Editorial
Заказчик ошибочно перевел денежные средства на ЭП	1.  Напишите заявление на фирменном бланке организации на имя Генерального директора ООО "РТС-тендер" Лишенкова Владимира Николаевича со следующим текстом: (наименование организации) ХХ.ХХ.2015 были ошибочно перечислены денежные средства в размере ХХХХХ руб. ХХ коп. на р/с ООО "РТС-тендер", платежное поручение №ХХ от ХХ.ХХ.2015. Просим перечислить сумму в размере ХХХХ руб. ХХ коп. по следующим реквизитам:(..);\n2.  Подпишите его и поставьте печать организации. Подписант (Руководитель организации либо лицо, имеющее доверенность);\n3.  Оригинал письма направьте по адресу: 121151, г. Москва, набережная Тараса Шевченко, д. 23-А	Editorial
Ускоренное зачисление денежных средств на счет Участника по платежному поручению 	1.  Уточните номер аукциона;\n2.  Сообщите об обращении Заказчика руководителю отдела;\n3.  После получения согласования запросите сканированную копию платежного поручения;\n4.  Поставьте задачу в Мегаплане, прикрепите платежное поручение и укажите данные Участника.	Editorial
Реквизиты площадки. Платежное поручение	Для просмотра реквизитов площадки войдите на главную страницу РТС-тендер / внизу страницы (на сером фоне) выберите столбец "44-ФЗ", далее нажмите на ссылку "Реквизиты". Там же находится ссылка на образец заполнения платежного поручения. Сторонняя организация / физ. лицо также могут перечислить денежные средства на виртуальный счет Участника - юридического лица. Для этого в платежном поручении в поле "Назначение платежа" необходимо указать за какую организацию производится зачисление, её ИНН и виртуальный счет. Для ИП и ФЗ зачисление денежных средств от сторонней организации не осуществляется.**Реквизиты, действующие до 20.03.2017:**Получатель: ООО «РТС-тендер»   \n Наименование банка: ВТБ БАНК ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО   \n Расчетный счёт: 40702810200260000532   \n Корр. счёт: 30101810700000000187   \n БИК: 044525187   \n ИНН: 7710357167   \n КПП: 773001001   \n Назначение платежа: Средства для обеспечения участия в электронных процедурах. № виртуального счета XX.XXXXX.XXXXX-VA. НДС не облагается.**Реквизиты, действующие с 20.03.2017:**Получатель: ООО «РТС-тендер»  \n Наименование банка: МОСКОВСКИЙ ФИЛИАЛ ПАО "СОВКОМБАНК"  \n Расчетный счёт: 40702810200005001158  \n Корр. счёт: 30101810945250000967  \n БИК: 044525967  \n ИНН: 7710357167  \n КПП: 773001001  \n Назначение платежа: Средства для обеспечения участия в электронных процедурах. № виртуального счета XX.XXXXX.XXXXX-VA. НДС не облагается.**Примечание: **С 20 марта 2017 года в течение одного месяца платежи, полученные по старым реквизитам, будут зачисляться в прежнем порядке. 	Editorial
