Question	Answer	Source
Документы для аккредитации в качестве Продавца 	 При выборе роли "Продавец" поля аккредитационной формы в соответствии с Регламентом ЭП должны быть заполнены копиями следующих документов:*   \n\nКопии действующей редакции учредительных документов (устав, положение);\n\n*   \n\nКопии документов, подтверждающих полномочия руководителя (решение о назначении, приказ о назначении);\n\n*   \n\nДоверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на <u>подписание договора с Организатором </u>(Оператор ЭП) от имени Заявителя, а также <u>на аккредитацию </u>от имени Заявителя и <u>совершение действий на ЭП </u>в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Доверенность должна быть заверена печатью такого Заявителя и подписана Заявителем (руководителем Заявителя) или оформлена нотариально, если доверенность выдана в порядке передоверия. В случае, если доверенность выдана в порядке передоверия, также представляется документ, подтверждающий полномочия лица выдавшего такую доверенность (Образей доверенности расположен: с Главной страницы РТС-тендер www.rts-tender.ru перейдите в раздел "Имущество", далее откройте раздел "Регламент площадки").При выборе роли "Представитель Продавца" поля аккредитационной формы в соответствии с Регламентом ЭП должны быть заполнены копиями следующих документов:*   \n\nКопии действующей редакции учредительных документов (устав, положение);\n\n*   \n\nКопии документов, подтверждающих полномочия руководителя (решение о назначении, приказ о назначении);\n\n*   \n\nДоверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на <u>подписание договора с Организатором </u>(Оператор ЭП) от имени Заявителя, а также <u>на аккредитацию </u>от имени Заявителя и <u>совершение действий на ЭП </u>в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Доверенность должна быть заверена печатью такого Заявителя и подписана Заявителем (руководителем Заявителя) или оформлена нотариально, если доверенность выдана в порядке передоверия. В случае, если доверенность выдана в порядке передоверия, также представляется документ, подтверждающий полномочия лица выдавшего такую доверенность (Образей доверенности расположен: с Главной страницы РТС-тендер www.rts-tender.ru перейдите в раздел "Имущество", далее откройте раздел "Регламент площадки").	Editorial
Документы для аккредитации в качестве Покупателя	При выборе роли "Претендент" поля аккредитационной формы в соответствии с Регламентом ЭП должны быть заполнены копиями следующих документов:**Заявитель – юридическое лицо:***   \n\nКопии действующей редакции учредительных документов;\n\n*   \n\nДоверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на <u>подписание договора с Организатором </u>(Оператор ЭП) от имени Заявителя, а также <u>на аккредитацию </u>от имени Заявителя и <u>совершение действий на ЭП </u>в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Доверенность должна быть заверена печатью такого Заявителя и подписана Заявителем (руководителем Заявителя) или оформлена нотариально, если доверенность выдана в порядке передоверия. В случае, если доверенность выдана в порядке передоверия, также представляется документ, подтверждающий полномочия лица выдавшего такую доверенность.\n\n*   \n\nКопии документов, подтверждающих полномочия руководителя (решение о назначении или об избрании лица на должность, в соответствии с которым такое лицо обладает правом действовать от имени Заявителя - юридического лица без доверенности (решение, протокол или выписка из протокола).\n\n **Заявитель – индивидуальный предприниматель:***   \n\nКопия документа, удостоверяющего личность;\n\n*   \n\nДоверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на <u>подписание договора с Организатором </u>(Оператор ЭП) от имени Заявителя, а также <u>на аккредитацию </u>от имени Заявителя и <u>совершение действий на ЭП </u>в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Доверенность должна быть заверена печатью такого Заявителя и подписана Заявителем (руководителем Заявителя) или оформлена нотариально, если доверенность выдана в порядке передоверия. В случае, если доверенность выдана в порядке передоверия, также представляется документ, подтверждающий полномочия лица выдавшего такую доверенность.\n\n **Заявитель – физическое лицо:***   \n\nКопия документа, удостоверяющего личность;\n\n*   \n\nДоверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на <u>подписание договора с Организатором (Оператор ЭП)</u> от имени Заявителя, а также <u>на аккредитацию </u>от имени Заявителя и <u>совершение действий на ЭП </u>в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Доверенность должна быть заверена печатью такого Заявителя и подписана Заявителем (руководителем Заявителя) или оформлена нотариально, если доверенность выдана в порядке передоверия. В случае, если доверенность выдана в порядке передоверия, также представляется документ, подтверждающий полномочия лица выдавшего такую доверенность.\n\n 	Editorial
Документы, необходимые для аккредитации филиала	 Если Ваша организация является филиалом, то зарегистрироваться на площадке Вы можете как отдельная организация или добавить своего пользователя к Головной организации.Зарегистрироваться на площадке можно как в качестве Покупателя, так и Продавца.**Документы, необходимые для аккредитации филиала:***   Копии действующей редакции учредительных документов (документы должны быть представлены на головную организацию);\n*   Копии документов, подтверждающих полномочия руководителя головной организации;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на <u>подписание договора с Организатором </u>(Оператор ЭП) от имени Заявителя, а также <u>на аккредитацию </u>от имени Заявителя и <u>совершение действий на ЭП </u>в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Доверенность должна быть заверена печатью такого Заявителя и подписана Заявителем (руководителем Заявителя) или оформлена нотариально, если доверенность выдана в порядке передоверия. В случае, если доверенность выдана в порядке передоверия, также представляется документ, подтверждающий полномочия лица выдавшего такую доверенность.	Editorial
Заполнение формы заявки на аккредитацию 	Информация в форме "Первичная аккредитация" представлена в нескольких подразделах, которые требуется последовательно заполнить.При формировании заявки на аккредитацию, сведения, которые указаны в реквизитах сертификата электронной подписи (в том числе ИНН/КПП), автоматически вносятся в соответствующие поля заявки на аккредитацию. При отсутствии КПП в данных сертификата электронной подписи имеется возможность указать его в форме аккредитации ЭП. Вся прочая информация в заявке на аккредитацию заполняется самостоятельно.**В подразделе "Информация о лице, подписавшем заявку"** указывается информация о конкретном пользователе Вашей организации, который подписывает заявку на аккредитацию (на кого оформлена электронная подпись). При выборе электронной подписи, значения: "Сертификат организации", "Фамилия", "Имя", "Отчество", "Адрес электронной почты", "Должность" будут заполнены автоматически из указанного сертификата электронной подписи. Значения "Номер телефона", "Имя пользователя (логин)", "Пароль", "Подтверждение пароля", "Кодовое слово" задаются произвольно.**В подразделе "Заявитель"** указывается информация о заявителе – юридическом лице, индивидуальном предпринимателе, физическом лице, Органе государственной власти/Органе местного самоуправления, от имени которого подается заявка на аккредитацию.В случае если Ваша организация применяет упрощенную систему налогообложения, установите отметку в соответствующее поле.В случае если Ваша организация является субъектом малого и среднего предпринимательства, установите отметку в соответствующее поле.**В подразделе "Юридический адрес" **указывается адрес Вашей организации в соответствии с учредительными документами.Заполнение полей "Страна", "Регион", "Район", "Город", "Населенный пункт" осуществляется последовательно, в указанном порядке. Для заполнения поля нажмите на его значение. В раскрывшемся меню выберите необходимое значение.**В подразделе "Почтовый адрес" **указывается адрес Вашей организации, используемый для направления почтовых сообщений.В случае если почтовый адрес Вашей организации совпадает с юридическим адресом, оставьте отметку в поле "Совпадает с юридическим адресом".В ином случае уберите отметку и заполните появившиеся поля аналогично заполнению подраздела "Юридический адрес".**В подразделе "Документы заявителя" **необходимо прикрепить отсканированные документы Вашей организации. Подраздел разделен на вкладки. Вкладки, в которых необходимо прикрепить документы, выделены красной рамкой, наименования таких вкладок соответствуют типам обязательных к предоставлению документов.Для прикрепления документа перейдите на соответствующую вкладку и нажмите на кнопку "Добавить". Откроется стандартное окно прикрепления файлов. Выберите необходимый файл и нажмите кнопку "Открыть". Загруженный документ отобразится в подразделе. Здесь же можно удалить прикрепленный документ, нажав на кнопку "Удалить" напротив документа.После прикрепления документа вкладка перестает быть выделена красным цветом, слева появятся вкладки "Все" и "Все активные", в табличной форме которых будут отображаться все прикрепленные документы.**В подразделе "Банковские реквизиты"** указываются банковские реквизиты Вашей организации, которые будут использоваться для пополнения виртуальных счетов и вывода средств с виртуальных счетов Вашей организации на электронных площадках.**В подразделах "Продавец/Претендент" **указывается информация, необходимая для аккредитации в системе. Установите галочку в нужном подразделе (в качестве кого будет выступать Ваша организация: Продавца или Претендента).Ваша организация одновременно может зарегистрироваться в качестве Продавца и Претендента.**Подраздел "Продавец" **Данный раздел предназначен для заполнения данных организации, выступающей в качестве продавца имущества.Установите отметку, кем является Ваша организация: собственником имущества или представителем продавца, выступающим в качестве посредника в процедуре продажи.**Подраздел "Претендент" **Установите отметку, что Претендент не является государственным и муниципальным унитарным предприятием, государственным и муниципальным учреждением, а также юридическим лицом, в уставном капитале которых доля Российской Федерации, субъектов Российской Федерации и муниципальных образований превышает 25 процентов.**В подразделе "Заявление о присоединении"** ознакомьтесь с документами (для Продавца и Покупателя список документов одинаковый) и проставьте галочку в чек-бокс.*   \n\nЗаявление о присоединении к документам площадки;\n\n*   \n\nЛицензионный договор (присоединение к Лицензионному договору означает присоединение к Регламенту ЭП "Торги по имуществу");\n\n*   \n\nСоглашение о гарантийном обеспечении;\n\n*   \n\nРегламент ЭП "Торги по имуществу".	Editorial
Редактирование заявки на аккредитацию 	**Ответ Оператора**: "Редактирование заявки на аккредитацию доступно только после рассмотрения заявки Оператором. Пока заявка находится в статусе "Подана" либо "На рассмотрении" редактирование невозможно.Если заявка на аккредитацию будет отклонена, Вы сможете внести изменения и повторно подать заявку.Если утверждена, Вы сможете в Личном кабинете внести изменения в сведения об организации."	Editorial
Раздел "Паспортные данные заявителя"		Editorial
Подача заявки на аккредитацию 	 "Для подачи заявки на аккредитацию:1.  \n\nНа главной странице сайта в верхнем правом углу нажмите на кнопку "Вход";\n\n2.  \n\nВыберите раздел "Имущественные торги", далее "Аккредитация". Откроется форма "Первичная аккредитация";\n\n3.  \n\nНажмите кнопку "Выберите сертификат";\n\n4.  \n\nОткроется окно "Выберите сертификат". Выберите необходимый сертификат и нажмите "ОК";\n\n5.  \n\nЗаполните поля, отмеченные звездочкой. В форму "Документы заявителя" прикрепите документы для прохождения аккредитации (см. статью [Заполнение формы заявки на аккредитацию](http://vtiger.sibir.rts-tender/index.php?action=DetailView&module=Faq&record=3909891&start=));\n\n6.  \n\nВ подразделе "Защита от спама" в поле "Ключ защиты" введите символы, отображенные на рисунке;\n\n7.  \n\nНажмите кнопку "Подать заявку на аккредитацию", расположенную внизу формы;\n\n8.  \n\nПоявится окно "Подтвердите подписание данных сертификатом". Нажмите "ОК".Заявка будет отправлена, откроется форма с сообщением о необходимости подтвердить адрес электронной почты. Для подтверждения адреса электронной почты нажмите на ссылку в письме, автоматически направленном Вам по указанному при заполнении формы адресу."	Editorial
Стоимость аккредитации 	"Аккредитация на площадке РТС-тендер бесплатна".	Editorial
Аккредитована ли организация на ЭП 		Editorial
Подача заявки на аккредитацию после отклонения  	 "Если Ваша заявка на аккредитацию отклонена, Вы можете внести изменения в заявку и повторно ее направить.	Editorial
