Question	Answer	Source
Регистрация Заказчика и Участника	**Если Вы планируете работать в качестве Заказчика или Органа** на площадке в соответствии с Постановлением № 615:1.  \n\nПройдите процедуру аккредитации на ЭП РТС-тендер 223-ФЗ. Если же организация была аккредитована ранее, то повторное прохождение аккредитации не требуется (см.ст. "[Подача заявки на аккредитацию](http://vtiger.sibir.rts-tender/index.php?module=Faq&parenttab=Support&action=DetailView&record=3909848)");\n\n2.  \n\nСообщите Оператору КЦ, в каком качестве Вы собираетесь работать на площадке (ОВР или Заказчик).\n\n **Если вы планируете работать в качестве Участника **в соответствии с Постановлением № 615, то требуется пройти процедуру аккредитации на ЭП РТС-тендер 223-ФЗ. Если же организация была аккредитована ранее, то повторное прохождение аккредитации не требуется. Единственное условие - в процедурах, размещенных в соответсвии с Постановлением № 615 могут только участвовать только ЮЛ и ИП.	Editorial
Просьба рассмотреть заявку на аккредитацию Органа, по ведению реестра/Заказчика по 615-ПП побыстрее 	1.  Сообщите информацию, о том, что подана заявка Органа / Заказчика по 615 постановлению в отдел аккредитации. Время работы отдела с 5:00 - 17:00 МСК;\n2.   Если рабочий день у специалистов по аккредитации окончен, Оператору необходимо УТВЕРДИТЬ заявку, не проверяя документы. Отклонять данные заявки нельзя.	Editorial
Сроки рассмотрения заявки на аккредитацию	"В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки", заявка на аккредитацию рассматривается Оператором в течение 5 рабочих дней с даты ее направления Оператору".	Editorial
Аккредитована ли организация на ЭП РТС-тендер "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки"	1.  Уточните ИНН организации;\n2.  В Личном кабинете Оператора по ИНН проверьте наличие организации в разделе "Справочники" / "Реестр участников закупок"/ "Реестр заказчиков": *   В случае если организация найдена, сообщите пользователю, что организация зарегистрирована;\n*   В случае если организация не найдена, проверьте информацию о наличии заявки на аккредитацию в разделе "Администрирование" / "Реестр заявок". Сообщите пользователю результат рассмотрения заявки на аккредитацию.	Editorial
Статус заявки на аккредитацию 	Статусы заявки:*   "Формирование" - заявка на аккредитацию находится в режиме редактирования, не отправлена на рассмотрение;\n*   "Подана" - Участник подал заявку на аккредитацию на площадке;\n*   "На рассмотрении" - заявка на аккредитацию подана и находится на рассмотрении Оператора;\n*   "Утверждена" - Участник аккредитован на площадке;\n*   "Отклонена" - заявка на аккредитацию была отклонена Оператором. Участник на площадке не аккредитован.	Editorial
Документы для аккредитации в качестве Участника	"В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки" для получения аккредитации на площадке Вы должны предоставить сканированные копии следующих документов: **Юридическое лицо:***   Копия выписки из Единого государственного реестра юридических лиц, полученной не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию и содержащая актуальные данные;\n*   Копии действующей редакции учредительных документов;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭТП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Шаблон доверенности можно посмотреть в Регламенте площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки";\n*   Копии документов, подтверждающих полномочия руководителя (решение о назначении или об избрании лица на должность, в соответствии с которым такое лицо обладает правом действовать от имени Заявителя - юридического лица без доверенности (решение, протокол или выписка из протокола).**Индивидуальный предприниматель:***   Копия выписки из единого государственного реестра индивидуальных предпринимателей, полученной не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию и содержащая актуальные данные;\n*   Копия документа, удостоверяющего личность;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭТП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Шаблон доверенности можно посмотреть в Регламенте площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки".	Editorial
Причины отказа в аккредитации 615 ПП РФ	1.  Уточните ИНН организации;\n2.  Войдите в [Личный кабинет Оператора](https://223.rts-tender.ru/supplier/sso/Login.aspx?ReturnUrl=%2Fsupplier%2Fsso%2F);\n3.  Выберите раздел "Администрирование", далее "Реестр заявок";\n4.  С помощью фильтров найдите заявку на аккредитацию данной организации и откройте подробную информацию о ней;\n5.  В поле "Причина отказа" просмотрите основание для отказа в аккредитации и предоставьте ответ пользователю;\n6.  При необходимости просмотреть документ, по которому заявка была отклонена и обосновать причину отказа.	Editorial
Документы для аккредитации в качестве ОПВР / Заказчика	 "В соответствии с Регламентом работы электронной площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки" для получения аккредитации на площадке Вы должны предоставить сканированные копии следующих документов: *   Копия выписки из Единого государственного реестра юридических лиц, полученной не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию и содержащая актуальные данные;\n*   Копии действующей редакции учредительных документов;\n*   Доверенность, подтверждающая полномочия лица, указанного в качестве Пользователя, на подписание договора с Оператором от имени Заявителя, а также на Аккредитацию от имени Заявителя и совершение действий в ЭТП в соответствии с настоящим Регламентом ЭП (в случае, если от имени Заявителя действует лицо по доверенности). Шаблон доверенности можно посмотреть в Регламенте площадки ООО "РТС-тендер" "Система комплексных программных решений для организации, проведения и сопровождения полного цикла закупки";\n*   Копии документов, подтверждающих полномочия руководителя (решение о назначении или об избрании лица на должность, в соответствии с которым такое лицо обладает правом действовать от имени Заявителя - юридического лица без доверенности (решение, протокол или выписка из протокола).	Editorial
Отказ от проведения закупки / аннулирование закупки	Для отказа от проведения процедуры необходимо:1.  Войдите в Личный кабинет по электронной подписи;\n2.  Перейдите в раздел "Закупки" и откройте необходимую процедуру;\n3.  В верхней части извещения нажмите кнопку "Отказ от проведения";\n4.  Заполните поля: "Дата принятия решения" и "Причина отказа от проведения закупки";\n5.  При необходимости прикрепите файл. После публикации отмены процедуры прикрепленный файл отобразится в извещении в разделе "Документы". \n6.  Нажмите кнопку "Опубликовать".Статус процедуры и лота изменится на "Отменена".Если в окне "Отказ от проведения закупки" включен параметр "Закупка аннулирована", то при публикации отмены закупка перейдет в статус "Аннулирована".	Editorial
Внесение изменений в опубликованное извещение	 Для внесения изменений в опубликованную процедуру:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе "Закупки" выберите нужную закупку и нажмите на ее номер;\n3.  В открывшейся форме "Просмотр извещения" нажмите кнопку "Внести изменения";\n4.  В открывшейся форме "Внесение изменений в процедуру" отредактируйте необходимые поля.\n5.  Нажмите кнопку "Опубликовать изменения", расположенную внизу формы.\n6.  В открывшемся окне введите причину внесения изменений в поле "Обоснование внесения изменения";\n7.  Нажмите кнопку "Продолжить".	Editorial
Заключение договора вне ЭП	 Для заключения договора вне ЭП:1.  В Личном кабинете в разделе "Закупки" откройте нужное извещение;\n2.  В разделе "Договоры закупки" выберите "Договор заключен вне ЭП";\n3.  Заполните сформированную карточку договора;\n4.  После заполнения всех полей нажмите кнопку "Договор заключен вне ЭП"\n5.  Подтвердите действие, нажмите кнопку "Продолжить".Статус закупки изменится на "Завершена".	Editorial
Создание и направление договора Участнику	 Для создания и направления договора Участнику:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе «Закупки» найдите необходимую процедуру, перейдите по уведомлению «Направьте договор» в столбце «Внимание» или откройте форму извещения, кликнув на номер закупки и в разделе «Договоры закупки» нажмите ссылку «Создать договор на ЭП»;\n3.  Прикрепите файл проекта договора, кликнув на ссылку «Прикрепить файл»;\n4.  Для направления договора Участнику на подпись нажмите кнопку «Направить договор».После отправки договора, его статус изменяется на «Договор отправлен Участнику на подпись».	Editorial
Подписание договора Заказчиком	 Для подписания договора выполните следующие действия:1.  Войдите в Личный кабинет по электронной подписи;\n2.  В разделе «РД» при помощи фильтров найдите необходимый договор и откройте его, кликнув на номер карточки договора или кликнув на уведомление «Подпишите договор»;\n3.  В карточке договора проверьте документы, прикрепленные Участником;\n4.  После проверки документов, прикрепленных Участником, нажмите кнопку «Подписать договор».Проверьте статус договора, он должен измениться на «Договор заключен».	Editorial
Отправка договора на доработку	Если карточка договора подписана Участником, а Вам требуется внести изменения в карточку договора , то Вы можете направить договор на доработку.Для того чтобы направить договор на доработку:1.  \n\nОткрыть карточку договора и внизу страницы нажмите кнопку "Отправить на доработку";\n\n 1.  \n\nВ окне "Предупреждение" нажмите кнопку "Продолжить";\n\n 1.  \n\nВ окне "Отправка на доработку" прикрепите файл (нажав на ссылку "Прикрепить файл") и нажмите кнопку "Ок".\n\n Статус договора изменится на "Договор отклонен заказчиком". Прикрепленный файл отобразится в разделе "Другие документы". У Участника в карточке договора появится две кнопки: "Принять и подписать договор" и "Создать протокол разногласий".	Editorial
Ответ по запросу на разъяснение аукцинной документации	 Для  предоставления ответа на запрос на разъяснение документации:1.  Войдите в раздел «Запросы», далее «Запросы на разъяснение документации»;\n2.  Нажмите на номер запроса;\n3.  В нижней части формы в разделе «Разъяснение положений документации закупки» в поле «Текст разъяснения» введите текст ответа;\n4.  Прикрепите документ;\n5.  В верхней части формы нажмите кнопку «Отправить разъяснение».Статус запроса изменится на «Отправлено разъяснение».	Editorial
Замена печатной формы протокола	Условия замены файла протокола:*   Заменить файл печатной формы протокола можно на любом этапе проведения закупки, кроме "Завершена";\n*   Количество замен протоколов может быть неограниченно;\n*   Расширение файла, выбранного для замены, должно совпадать с расширением файла, прикрепленного ранее.Для замены печатной формы протокола:1.  В Личном кабинете войдите в раздел "Закупки";\n2.  Откройте нужную процедуру, нажав на номер извещения;\n3.  Перейдите в раздел "Сведения о протоколах";\n4.  Нажмите на форму "Открыть форму протокола рассмотрения заявок";\n5.  В разделе "Прикрепление протокола рассмотрения заявок аукциона" нажмите на ссылку "Заменить файл".Файл изменится на новый.	Editorial
Выгрузка заявок Участников	Выгрузка заявок Участников может быть выполнена из формы протокола рассмотрения заявок.	Editorial
