Question	Answer	Source
Договор оказания услуг удостоверяющего центра	"Для получения Договора оказания услуг УЦ "FT-crypto" отправьте запрос (можно не официальный) на адрес электронной почты uc@ft-crypto.ru. При необходимости в запросе укажите реквизиты организации. По факту поступления запроса Вам будет предоставлен ответ."	Editorial
Инструкции по работе в Сервисе управления сертификатами 	 " Инструкции по работе в Сервисе управления сертификатами можно посмотреть на сайте УЦ "FT-crypto" [http://cryptoca.ru/](http://cryptoca.ru/) в разделе "Помощь" - "Инструкции". В разделе доступны следующие инструкции:*   "Порядок получения сертификата ЭП";\n*   "Условия использования Крипто ПРО CSP";\n*   "Инструкция по установке сертификата ЭП";\n*   "Инстукция по настройке MS Outlook для работы с электронной подписью";\n*   "Использование КриптоПро CSP в The Bat!"".	Editorial
Просмотр документов Удостоверяющего центра УЦ "FT-crypto" 	"Для просмотра документов УЦ "FT-crypto" (Лицензия, свидетельство об аккредитации, сертификаты УЦ, Регламент, тарифы УЦ):1.  Перейдите на главную старинцу сайта УЦ "FT-crypto" (http://cryptoca.ru/);\n2.  Выберите раздел "О нас" и в нижней части формы в разделе "Документы Удостоверяющего центра" с помощью ссылки откройте необходимый документ."	Editorial
Серийный номер лицензии КриптоПро 	"Лицензия КриптоПро встроена в сертификат. При установке КриптоПро для работы с сертификатом, полученном в УЦ "FT-crypto", серийный номер вводить не нужно. Необходимо нажать кнопку "Далее" и продолжить установку сертификата. Наличие ограниченной лицензии можно посмотреть в сертификате:1.  Откройте программу КриптоПро (Пуск / Все программы / папка КриптоПро / программа КриптоПро CSP);\n2.  Перейдите на вкладку "Сервис" и нажмите кнопку "Просмотреть сертификаты в контейнере";\n3.  С помощью кнопки "Обзор" выберите контейнер закрытого ключа и нажмите кнопку "Далее";\n4.  В открывшемся окне нажмите кнопку "Свойства" и перейдите на вкладку "Состав";\n5.  Выберите строку "Ограниченная лицензия" и просмотрите срок действия ограниченной лицензии.Срок действия ограниченной лицензии КриптоПро равен сроку действия сертификата (1 год)."	Editorial
Действие  ограниченной лицензии с сертификатом, выданным другим УЦ 	"Ограниченная лицензия встроена в сертификат, она будет действительна только для электронной подписи, выданной УЦ "FT-crypto"."	Editorial
Получение лицензии КриптоПро 	 "Лицензию КриптоПро можно заказать только вместе с сертификатом электронной подписи, отдельно заказать лицензию в УЦ "FT-crypto" возможности нет."	Editorial
Получение лицензии КриптоПро при перевыпуске сертификата 	"Лицензия Крипто-Про встроена в сертификати действует в течение срока действия сертификата электронной подписи.При получении сертификата на нового пользователя или перевыпуске сертификата после истечения срока действия предыдущего, необходимо дополнительно заказать лицензию КриптоПро, для этого в форме заявки в разделе "Заказать дополнительно" установите соответствующий чек-бокс."	Editorial
Работа по ЭП, полученной в УЦ "FT-crypto", через другой криптопровайдер, отличный от КриптоПро	"Возможность работать по электронной подписи, полученной в УЦ "FT-crypto", есть только через криптопровайдер Крипто Про".	Editorial
Установка Крипто Про CSP 	Действия по установке программы КриптоПро осуществляется пользователем самостоятельно. Удалять старую версию КриптоПро не обязательно.Для корректной работы с сертификатом, выданным УЦ "FT-crypto" необходимо установить средство криптографической защиты Крипто Про CSP. Версия программы должна быть не ниже 3.6.6497, для операционной системы Windows 8, 8.1, 10 версия должна быть не ниже 4.0. Для установки программы КриптоПро:1.  Зарегистрируйтесь на сайте [КриптоПро](https://www.cryptopro.ru/);\n2.  После регистрации перейдите в раздел "Загрузки" и в нижней части формы нажмите на кнопку "Я согласен с Лицензионным соглашением. Перейти к загрузке";\n3.  В предложенном списке выберите версию программы КриптоПро CSP в соответствии с Вашей операционной системой (Windows 7 - КриптоПро CSP 3.6 R4 (3.6.1), Windows 8, 8.1, 10 - КриптоПро CSP 4.0);\n4.  Запустите установочный файл и в открывшемся Мастере установки нажмите кнопку "Далее";\n5.  В открывшемся окне ознакомьтесь с Лицензионным соглашением, поставьте радиокнопку "Я принимаю условия лицензионного соглашения" и нажмите кнопку "Далее";\n6.  Укажите сведения о себе в полях "Пользователь" и "Организация";\n7.  Поле "Серийный номер" оставьте пустым в случае если Вы заказывали сертификат в УЦ "FT-crypto" вместе с ограниченной лицензией. Если лицензию Вы приобретали отдельно от сертификата электронной подписи, в данном поле введите серийный номер лицензии КриптоПро;\n8.  Далее все действия выполните по умолчанию.После установки программы КриптоПро перезагрузите компьютер.	Editorial
Подача заявки на перевыпуск сертификата с истекшим сроком действия лицензии КриптоПро 	"Подача заявки на перевыпуск с истекшим сроком действия лицензии КриптоПро возможна либо с другого компьютера, на котором установлена действующая лицензия, либо после приобретения и установки лицензии КриптоПро".	Editorial
