Question	Answer	Source
Документы для аккредитации российских Участников ($)	**Рекомендации по документам:**Выписка ЕГРЮЛ:*   Выписка ЕГРЮЛ может предоставляться в электронном виде с отметкой о том, что документ подписан электронной подписью ФНС России, или без нее;\n*   Лист записи ЕГРЮЛ подтверждает факт внесения записи в Единый государственный реестр юридических лиц, но не является самой выпиской из данного реестра, он прикладывается к соответствующему свидетельству о внесении изменений.Документ, подтверждающий полномочия руководителя:*   Если в качестве единоличного исполнительного органа выступает Управляющая компания, в качестве документа, подтверждающего полномочия руководителя организации, необходимо предоставить Решение (Протокол) о назначении Управляющей компании на должность единоличного исполнительного органа. Если в Решении (Протоколе) не указан срок полномочий Управляющей компании на должности единоличного исполнительного органа, необходимо предоставить Договор о передаче полномочий единоличного исполнительного органа Управляющей компании;"В соответствии со ст.61 Федерального закона от 05.04.2013 N 44-ФЗ для получения аккредитации на площадке Вы должны предоставить сканированные копии следующих документов:**Для юридического лица:***   Копия выписки из единого государственного реестра юридических лиц (для юридических лиц), полученной не ранее чем за шесть месяцев до дня обращения с заявлением;\n*   Копия учредительных документов;\n*   Копии документов, подтверждающих полномочия лица на получение аккредитации от имени Участника размещения заказа (если от имени организации действует руководитель и электронная подпись оформлена на него, в данный раздел прикрепляются документы, подтверждающие полномочия руководителя);\n*   Доверенность на осуществление действий от имени Участника размещения заказа, заверенная печатью такого Участника размещения заказа и подписанная руководителем или уполномоченным лицом (если от имени организации действует руководитель (директор, гендиректор) и электронная подпись оформлена на него, в данный раздел прикрепляются документы, подтверждающие полномочия руководителя);\n*   Копия документов, подтверждающих полномочия руководителя (Решение о назначении или Приказ + Решение о назначении);\n*   \n\nРешение об одобрении или о совершении по результатам таких аукционов сделок от имени участника такого аукциона - юридического лица с указанием информации о максимальной сумме одной сделки<span style="font-family:Calibri, 'sans-serif';font-size:11pt;"> </span>.\n\n **Для индивидуального предпринимателя:***   Копии документов, удостоверяющих личность (все страницы паспорта с 1 по 20);\n*   Доверенность  на осуществление действий от имени Участника размещения заказа (Доверенность предоставляется в том случае, если от имени ИП действует лицо по доверенности. Если от имени организации действует сам ИП и электронная подпись оформлена на него, в данный раздел прикрепляется копия паспорта);\n*   Копия выписки из Единого государственного реестра индивидуальных предпринимателей, полученной не ранее чем за шесть месяцев до дня обращения с заявлением.**Для физического лица:***   Копия документов, удостоверяющих личность (все страницы паспорта с 1 по 20);\n*   Доверенность на осуществление действий от имени Участника размещения заказа (Доверенность предоставляется в том случае, если от имени ФЛ действует лицо по доверенности. Если от имени организации действует сам ФЛ и электронная подпись оформлена на него, в данный раздел прикрепляется копия паспорта)".<div style="background:rgb(238,238,238);padding:5px 10px;border:1px solid rgb(204,204,204);">\n\n\n<span style="color:#000000;">**Действия по продвижению:** </span>\n\n*   <span style="color:#000000;">Если у Участника нет действующего сертификата, предложите выпустить/перевыпустить  сертификат (см. статью "</span>[<span style="color:#0099cc;">Предложение о выпуске сертификата в FT-crypto</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352125)<span style="color:#000000;">");</span>\n*   <span style="color:#000000;">Если у Участника есть действующий сертификат, проинформируйте клиента о возможном открытии дистанционного счета (см. статью "</span>[<span style="color:#0099cc;">Информирование о ДОРС</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352123)<span style="color:#000000;">").</span></div>	Editorial
Документы для аккредитации белорусского Участника	"В соответствии с Дополнительным соглашением от 04 октября 2012 г. к Соглашению о функционировании электронной площадки для проведения открытых аукционов в электронной форме от 4 мая 2010 г., к форме заявки на аккредитацию специалист белорусского Участника должен приложить следующие документы, подписанные электронной подписью:**Для юридических лиц:***   Копия выписки из реестра предприятий (предпринимателей) или иной документ о государственной регистрации юридического лица в соответствии с законодательством Республики Беларусь со сроком действия указанных документов не более шести месяцев до даты подачи заявки на аккредитацию;\n*   Копия учредительных документов;\n*   Копии документов, подтверждающих полномочия лица на получение аккредитации от имени Участника - юридического лица (решение о назначении или об избрании лица на должность, в соответствии с которым такое лицо обладает правом действовать от имени Участника - юридического лица без доверенности для получения аккредитации (далее - руководитель). В случае если от имени Участника действует иное лицо, также должна предоставляться доверенность на осуществление действий от имени Участника, заверенная печатью такого Участника и подписанная руководителем или уполномоченным им лицом. В случае, если указанная доверенность подписана лицом, уполномоченным руководителем, должна представляться копия документа, подтверждающего полномочия этого лица;\n*   Копии документов, подтверждающих полномочия руководителя. В случае, если от имени Участника действует иное лицо, также представляются доверенности, выданные физическому лицу или физическим лицам на осуществление действий от имени Участника по участию в открытых аукционах в электронной форме, заверенные печатью Участника и подписанные руководителем или уполномоченным им лицом. В случае, если такая доверенность подписана лицом, уполномоченным руководителем, должна представляться копия документа, подтверждающего полномочия данного лица, заверенная печатью Участника и подписанная руководителем Участника ;\n*   Копии документов, удостоверяющих личность лица, уполномоченного на получение аккредитации от имени Участника (все страницы паспорта);\n*   Решение об одобрении или о совершении по результатам торгов сделок от имени Участника - юридического лица с указанием сведений о максимальной сумме одной такой сделки.**Для индивидуальных предпринимателей:***   Копия выписки из единого государственного реестра индивидуальных предпринимателей (ЕГРИП);\n*   Копии документов, удостоверяющих личность лица, уполномоченного на получение аккредитации от имени Участника (все страницы паспорта);\n*   Доверенность на осуществление действий на площадке от имени Участника закупки.**Для физических лиц:***   Копии документов, удостоверяющих личность лица, уполномоченного на получение аккредитации от имени Участника (все страницы паспорта);\n*   Доверенность на осуществление действий на площадке от имени Участника закупки".	Editorial
Документы для аккредитации филиала ($)	"Для получения аккредитации на площадке филиал должен предоставить следующие документы:*   Копию выписки из ЕГРЮЛ (головной организации), полученную не ранее чем за шесть месяцев до дня обращения с заявлением на аккредитацию;\n*   Копию учредительных документов (головной организации);\n*   Копию документов, подтверждающих полномочия руководителя головной организации;\n*   Копию документов, подтверждающих полномочия лица на получение аккредитации от имени Участника размещения заказа.Если от имени филиала действует руководитель филиала и электронная подпись оформлена на него – в данный раздел прикрепляются документы, подтверждающие его полномочия (Доверенность на получение аккредитации, выданная руководителем головной организации на руководителя филиала); иное лицо – в данный раздел прикрепляются документы, подтверждающие полномочия этого лица (Доверенность на получение аккредитации, выданная руководителем филиала). Полномочия руководителя филиала также должны быть подтверждены.*   Доверенность на осуществление действий от имени Участника размещения заказа, заверенная печатью такого Участника размещения заказа и подписанная руководителем или уполномоченным лицом.Если от имени филиала действует руководитель филиала и электронная подпись оформлена на него – в данный раздел прикрепляются документы, подтверждающие его полномочия (Доверенность на осуществление действий на площадке, выданная руководителем головной организации на руководителя филиала); иное лицо – в данный раздел прикрепляются документы, подтверждающие полномочия пользователя (Доверенность, выданная руководителем филиала). Полномочия руководителя филиала также должны быть подтверждены.*   Решение об одобрении или о совершении по результатам открытых аукционов в электронной форме сделок от имени Участника размещения заказа - юридического лица с указанием сведений о максимальной сумме по одной такой сделке (Решение может быть принято соответствующим органом управления головной организации, или, если сделка не является крупной или проходит в рамках обычной хозяйственной деятельности, руководителем филиала).<div style="background:rgb(238,238,238);padding:5px 10px;border:1px solid rgb(204,204,204);">\n\n\n<span style="color:#000000;">**Действия по продвижению:** </span>\n\n*   <span style="color:#000000;">Если у Участника нет действующего сертификата, предложите выпустить/перевыпустить  сертификат (см. статью "</span>[<span style="color:#0099cc;">Предложение о выпуске сертификата в FT-crypto</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352125)<span style="color:#000000;">");</span>\n*   <span style="color:#000000;">Если у Участника есть действующий сертификат, проинформируйте клиента о возможном открытии дистанционного счета (см. статью "</span>[<span style="color:#0099cc;">Информирование о ДОРС</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352123)<span style="color:#000000;">").</span></div>	Editorial
Крупные сделки		Editorial
Документы для аккредитации иностранного Участника	**Ответ оператора: **"При аккредитации на площадке представительство иностранной организации должно предоставить документы головной организации:*   Копия выписки из реестра предприятий (предпринимателей) или иной документ о государственной регистрации юридического лица или физического лица в качестве индивидуального предпринимателя в соответствии с законодательством соответствующего государства со сроком действия указанных документов не более шести месяцев;\n*   Копии учредительных документов (для юридических лиц), копия документа, удостоверяющего его личность (для физических лиц);\n*   Копии документов, подтверждающих полномочия руководителя головной организации (для юридических лиц);\n*   Копии документов, подтверждающих полномочия лица на получение аккредитации от имени участника закупки;\n*   Доверенность на осуществление действий на площадке от имени участника закупки;\n*   Решение об одобрении или о совершении по результатам электронных аукционов сделок от имени участника закупки (для юридических лиц)".	Editorial
Требования к предоставлению копии документа удостоверяющего личность участника	"При подаче заявки на аккредитацию ИП / ФЛ должен предоставить копию паспорта со всеми страницами (с 1 по 20).Описание бланка паспорта содержится в п. 2 Постановления Правительства РФ от 08 июля 1997 года № 828: бланк паспорта состоит из обложки, приклеенных к обложке форзацев и содержит 20 страниц. Только в этом случае документ может рассматриваться в качестве надлежащей копии документа, удостоверяющего личность.При несоблюдении указанного требования Оператор электронной площадки обязан такую заявку отклонить на основании п. 3 ч. 2. ст. 61 44-ФЗ. А так же все Участники, которые имеют копию паспорта с недостающими страницами, могут быть отклонены Заказчиком по несоответствию требованиям при рассмотрении заявок на участие."	Editorial
Не редактируемые поля: ИНН, ОГРН, КПП при подаче заявки на аккредитацию	При заполнении заявки на аккредитацию поля: "Полное наименование организации", "ИНН", "ОГРН", "КПП", "Адрес электронной почты" выделяются серым цветом и заполняются автоматически. Эти данные переносятся из электронной подписи и не редактируются, кроме поля "Полное наименование организации".Полное наименовние Вы можете отредактировать как при подаче заявки на аккредитацию, так и после ее утверждения. Если такое изменение идет в соответствии с Вашими учредительными документами (например: если в поле "Полное наименование организации" указано сокращенное).Для редактирования полного наименования при подаче заявки на аккредитацию нажмите кнопку "Редактировать" и укажите наименование организации.Если заявка на аккредитацию одобрена Оператором, Вы можете внести изменения в полное наименование организации в своем Личном кабинете.	Editorial
Заполнение заявки на аккредитацию белорусских Участников	*   У белорусских Участников отсутствует поле "ИНН", уникальность белорусских Участников обеспечивается введением поля "УНП" ("Учетный номер плательщика"). УНП должен содержать 9 знаков;\n*   Все документы и сведения, направляемые на электронную площадку, предоставляются на русском языке или с надлежащим образом заверенным переводом на русский язык;\n*   Заявка на аккредитацию и приложенные к заявке документы должны быть подписаны электронной подписью одного из УЦ, аккредитованных для работы на площадках для проведения закупок для государственных и муниципальных нужд."При формировании заявки заполните поля формы заявки, обязательные отмечены *.Форма заявки на аккредитацию состоит из 9 разделов:*   **Раздел "Информация о лице, подписавшем заявку".** Указывается информация о конкретном пользователе организации, который подписывает заявку на аккредитацию;\n*   **Раздел "Заявитель".** Указывается информация о заявителе – юридическом лице, индивидуальном предпринимателе или физическом лице, от имени которого подается заявка на аккредитацию;\n*   **Раздел "Место нахождения". **Указывается адрес организации в соответствии с учредительными документами;\n*   **Раздел "Почтовый адрес".** Указывается адрес организации, используемый для направления почтовых сообщений;\n*   **Раздел "Документы заявителя".** Прикрепляются отсканированные документы организации;\n*   **Раздел "Банковские реквизиты".** Указываются банковские реквизиты организации, которые будут использоваться для пополнения виртуального счета и вывода средств с виртуального счета организации (см. статью "[Заполнение реквизитов белорусского банка (код МФО)](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=5508)");\n*   **Раздел "Заявка на аккредитацию".** Указывается максимально возможная сумма сделки, а также отображается заявление об аккредитации, автоматически сформированное системой;\n*   **Раздел "Откуда Вы узнали об электронной торговой площадке".** Указывается информация об источнике, из которого Участник узнал об электронной площадке РТС-тендер;\n*   **Раздел "Защита от спама".** В данном поле необходимо указать ключ защиты от спама.	Editorial
Выбор часового пояса 	"В поле "Часовой пояс" по умолчанию стоит пояс "(UTC+04,GMT+04) Москва, Санкт-Петербург, Волгоград, Самара". Для изменения часового пояса нажмите на выпадающий список и выберите нужное значение."	Editorial
Раздел "Место нахождения" / "Почтовый адрес" 	"В подразделе "Место нахождения" указывается адрес организации в соответствии с учредительными документами. Для заполнения раздела:*   В полях "Регион", "Район", "Город", "Населенный пункт" выберите из выпадающего списка нужное значение;\n*   В поле "Страна" по умолчанию проставлено значение "Российская Федерация";\n*   Если поле не требует заполнения, в выпадающем списке выберите прочерк;\n*   Заполните с клавиатуры обязательные поля "Улица", "Почтовый индекс", "Строение / корпус";\n*   Поле "ОКАТО" заполняется автоматически после заполнения других полей раздела.В разделе "Почтовый адрес" указывается адрес организации, используемый для направления почтовых сообщений. По умолчанию в разделе установлена галочка в поле "Совпадает с местом нахождения". Если почтовый адрес не совпадает с местом нахождения, уберите галочку и заполните появившиеся поля по аналогии с заполнением полей в разделе "Место нахождения".	Editorial
Заполнение формы заявки на аккредитацию 	"При формировании заявки заполните поля формы заявки, обязательные отмечены *.Форма заявки на аккредитацию состоит из 9 разделов:*   **Раздел "Информация о лице, подписавшем заявку".** Указывается информация о конкретном пользователе организации, который подписывает заявку на аккредитацию;\n*   **Раздел "Заявитель".** Указывается информация о заявителе – юридическом лице, индивидуальном предпринимателе или физическом лице, от имени которого подается заявка на аккредитацию;\n*   **Раздел "Место нахождения". **Указывается адрес организации в соответствии с учредительными документами;\n*   **Раздел "Почтовый адрес".** Указывается адрес организации, используемый для направления почтовых сообщений;\n*   **Раздел "Документы заявителя".** Прикрепляются отсканированные документы организации;\n*   **Раздел "Банковские реквизиты".** Указываются банковские реквизиты организации, которые будут использоваться для пополнения виртуального счета и вывода средств с виртуального счета организации;\n*   **Раздел "Заявка на аккредитацию".** Указывается максимально возможная сумма сделки, а также отображается заявление об аккредитации, автоматически сформированное системой;\n*   **Раздел "Откуда Вы узнали об электронной торговой площадке".** Указывается информация об источнике, из которого Участник узнал об электронной площадке РТС-тендер;\n*   **Раздел "Защита от спама".** В данном поле необходимо указать ключ защиты от спама."	Editorial
Заполнение реквизитов белорусского банка (код МФО) 	"У поставщика-нерезидента есть два варианта заполнения банковских реквизитов:*   Заполнить реквизиты российского банка;\n*   Заполнить реквизиты белорусского банка с указанием транзитного счета в российском банке. Данные реквизиты необходимо запросить в своем банке также как код МФО."	Editorial
Поля "Имя пользователя (логин)" / "Пароль" 	"При заполнении формы первичной аккредитации к полю "Имя пользователя (логин)" предъявляются следующие требования:*   Логин должен быть уникальным (ранее не использовался);\n*   Должен содержать от 3 до 20 букв или цифр;\n*   Не должен содержать знаки препинания, пробелы и символы.К полю "Пароль" предъявляются следующие требования:*   Пароль должен содержать минимум 8 символов, включающих буквы и цифры;\n*   Должен содержать хотя бы один из специальных символов: ! @ # $ % ^ * _ + () {} : ; . , ? / <>.	Editorial
Поле "Кодовое слово" 	**Ответ Оператора: "**При формировании заявки на аккредитацию к полю "Кодовое слово" предъявляются следующие требования:*   Кодовое слово должно содержать от 1 до 100 букв русского и/или английского алфавита, пробелов и цифр;\n*   Не должно содержать знаки препинания и специальные символы."	Editorial
Поле "ОГРНИП" 	 "Вы можете пройти регистрацию на ЭП, если в Вашем сертификате  отсутствует ОГРНИП. При этом в форме заявки на аккредитацию это поле является обязательным для заполнения. Это поле Вам будет необходимо заполнить вручную. В дальнейшем при работе в Личном кабинете поле "ОГРНИП" доступно для редактирования."	Editorial
Раздел "Банковские реквизиты" 	"Раздел "Банковские реквизиты" указываются реквизиты, которые в дальнейшем будут использователься для перечисления денежных средств. Для заполнения данного раздела:*   Введите БИК банка и нажмите кнопку "Заполнить", поля "Название банка" и "Адрес банка" заполнятся автоматически (в случае, если подгружается неактуальная информация об адресе или названии, у Пользователя есть возможность отредактировать данные, установив курсор в этих разделах);\n*   Заполните раздел "Расчетный счет";\n*   Заполнение разделов "Лицевой счет" и "Корреспондентский счет" не является обязательным".	Editorial
Раздел "Паспортные данные заявителя"		Editorial
Подача заявки на переаккредитацию с новой электронной подписью (в случае истечения срока аккредитации) ($)	В случае, если у Вас истек срок аккредитации и сменилась электронная подпись, для подачи заявки на переаккредитацию с новой электронной подписью:1.  Добавьте нового пользователя (см. статью "[Добавление пользователя из открытой части](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=6950)");\n2.  После утверждения заявки на добавление пользователя подайте заявку на переаккредитацию (см. статью "[Процедура переаккредитации / Действия, которые может осуществлять Участник при поданной заявки на переаккредитацию](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=3483)").<div style="background:rgb(238,238,238);padding:5px 10px;border:1px solid rgb(204,204,204);">\n\n\n<span style="color:#000000;">**Действия по продвижению:** </span>\n\n*   <span style="color:#000000;">Если у Участника нет действующего сертификата, предложите выпустить/перевыпустить  сертификат (см. статью "</span>[<span style="color:#0099cc;">Предложение о выпуске сертификата в FT-crypto</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352125)<span style="color:#000000;">");</span>\n*   <span style="color:#000000;">Если у Участника есть действующий сертификат, проинформируйте клиента о возможном открытии дистанционного счета (см. статью "</span>[<span style="color:#0099cc;">Информирование о ДОРС</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352123)<span style="color:#000000;">").</span></div>	Editorial
Процедура переаккредитации / Действия, которые может осуществлять Участник при поданной заявке на переаккредитацию ($)	В соответствии с ч. 15 ст. 61 44-ФЗ Участник вправе пройти аккредитацию на новый срок не ранее, чем за шесть месяцев до даты окончания срока ранее полученной аккредитации. Для прохождения процедуры переаккредитации:1.  В Личном кабинете перейдите в раздел "Моя организация";\n2.  В подразделе "Информация об организации", в строке "Состояние аккредитации" перейдите по ссылке "Продлить аккредитацию" или по ссылке  "...перейдите по форме", представленной в верхней части Личного кабинета;\n3.  Внесите необходимые изменения и отправьте заявку.Форма переаккредитации идентична форме первичной аккредитации. Для редактирования доступны все поля кроме ИНН, КПП и ОГРН. Документы можно активировать / деактивировать, прикреплять новые. <div style="background:rgb(238,238,238);padding:5px 10px;border:1px solid rgb(204,204,204);">\n\n\n<span style="color:#000000;">**Действия по продвижению:** </span>\n\n*   <span style="color:#000000;">Если у Участника нет действующего сертификата, предложите выпустить/перевыпустить  сертификат (см. статью "</span>[<span style="color:#0099cc;">Предложение о выпуске сертификата в FT-crypto</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352125)<span style="color:#000000;">");</span>\n*   <span style="color:#000000;">Если у Участника есть действующий сертификат, проинформируйте клиента о возможном открытии дистанционного счета (см. статью "</span>[<span style="color:#0099cc;">Информирование о ДОРС</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352123)<span style="color:#000000;">").</span></div>	Editorial
Подтверждение адреса электронной почты ($)	Для подтверждения адреса электронной почты:1.  \n\nОткройте через браузер Internet Explorer ящик электронной почты, который был указан в заявке на аккредитацию;\n\n2.  \n\nПерейдите по ссылке в письме, автоматически направленном площадкой при отправке заявки на рассмотрение. После подтверждения на данный адрес будут приходить все уведомления от площадки.\n\n <div style="background:rgb(238,238,238);padding:5px 10px;border:1px solid rgb(204,204,204);">\n\n\n<span style="color:#000000;">**Действия по продвижению:** </span>\n\n*   <span style="color:#000000;">Если у Участника нет действующего сертификата, предложите выпустить/перевыпустить  сертификат (см. статью "</span>[<span style="color:#0099cc;">Предложение о выпуске сертификата в FT-crypto</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352125)<span style="color:#000000;">");</span>\n*   <span style="color:#000000;">Если у Участника есть действующий сертификат, проинформируйте клиента о возможном открытии дистанционного счета (см. статью "</span>[<span style="color:#0099cc;">Информирование о ДОРС</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352123)<span style="color:#000000;">").</span></div>	Editorial
Редактирование заявки на аккредитацию ($)	**Ответ Оператора**: "Редактирование заявки на аккредитацию доступно только после рассмотрения заявки Оператором. Пока заявка находится в статусе "Подана" либо "На рассмотрении" редактирование невозможно.Если заявка на аккредитацию будет отклонена, Вы сможете внести изменения и повторно подать заявку.Если утверждена, Вы сможете в Личном кабинете внести изменения в сведения об организации."<div style="background:rgb(238,238,238);padding:5px 10px;border:1px solid rgb(204,204,204);">\n\n\n<span style="color:#000000;">**Действия по продвижению:** </span>\n\n*   <span style="color:#000000;">Если у Участника нет действующего сертификата, предложите выпустить/перевыпустить  сертификат (см. статью "</span>[<span style="color:#0099cc;">Предложение о выпуске сертификата в FT-crypto</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352125)<span style="color:#000000;">");</span>\n*   <span style="color:#000000;">Если у Участника есть действующий сертификат, проинформируйте клиента о возможном открытии дистанционного счета (см. статью "</span>[<span style="color:#0099cc;">Информирование о ДОРС</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352123)<span style="color:#000000;">").</span></div>	Editorial
Подача заявки на аккредитацию российским Участником ($)	*   После подачи заявки на аккредитацию на адрес электронной почты, указанной при заполнении формы, придет письмо с ссылкой на подтверждение;\n*   Работа на площадке будет доступна только после получения уведомления об аккредитации;\n*   После подачи заявки на аккредитацию и до её рассмотрения Оператором прикрепленные документы находятся в статусе "Черновик". После рассмотрения и утверждения заявки Оператором статус документов изменится на "Актуальный".Для получения аккредитации на площадке РТС-тендер заполните и отправьте на рассмотрение заявку на аккредитацию.При формировании заявки заполните обязательные поля. Для подачи заявки на аккредитацию:1.  Зайдите на главную страницу сайта площадки РТС-тендер;\n2.  Перейдите в раздел "44-ФЗ" / "Участникам" / "Аккредитация";\n3.  Выполните настройки для корректной работы на площадке, установите дополнительное ПО и нажмите кнопку "Продолжить регистрацию";\n4.  В разделе "Информация о лице, подписавшем заявку" в поле "Сертификат организации" нажмите кнопку "Выберете сертификат";\n5.  Выберите из списка нужный сертификат;\n6.  Заполните разделы формы "Первичная аккредитация" (часть полей автоматически будет заполнена данными из электронной подписи);\n7.  В подразделе "Защита от спама" укажите код защиты от спама;\n8.  Нажмите кнопку "Подать заявку на аккредитацию", расположенную внизу формы.Заявка подана.<div style="background:rgb(238,238,238);padding:5px 10px;border:1px solid rgb(204,204,204);">\n\n\n<span style="color:#000000;">**Действия по продвижению:** </span>\n\n*   <span style="color:#000000;">Если у Участника нет действующего сертификата, предложите выпустить/перевыпустить  сертификат (см. статью "</span>[<span style="color:#0099cc;">Предложение о выпуске сертификата в FT-crypto</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352125)<span style="color:#000000;">");</span>\n*   <span style="color:#000000;">Если у Участника есть действующий сертификат, проинформируйте клиента о возможном открытии дистанционного счета (см. статью "</span>[<span style="color:#0099cc;">Информирование о ДОРС</span>](http://vtiger.sibir.rts-tender/index.php?module=Faq&view=Detail&record=1352123)<span style="color:#000000;">").</span></div>	Editorial
